Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,98.0,1.0,98.0,98.0,0.0,36.42700000000005,0.0,0.0,0.015272140502929688,,,,,,,,,,,,,,,,,,,,,12.188932488924197,9.046443320411239,35.303055423877765,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,142.0,2.0,44.0,142.0,0.0,23.70900000000002,0.0,0.0,4.273057699203491,,,,,,,,,,,,,,,,,,,,,7.430243811047734,7.96796772094132,23.42890365071167,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,189.0,3.0,47.0,189.0,0.0,30.70700000000002,0.0,0.0,8.727688074111938,,,,,,,,,,,,,,,,,,,,,11.01604212848315,10.432875975089146,30.24971520064739,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,233.0,4.0,44.0,233.0,0.0,22.106000000000023,0.0,0.0,13.060524463653564,,,,,,,,,,,,,,,,,,,,,6.782489988985697,7.241351838712579,21.851251091416373,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,270.0,5.0,37.0,270.0,0.0,17.408000000000023,0.0,0.0,16.71160101890564,,,,,,,,,,,,,,,,,,,,,5.014910542252767,5.8537481252785115,17.256944942877464,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,317.0,6.0,47.0,317.0,0.0,20.90800000000003,0.0,0.0,21.3362877368927,,,,,,,,,,,,,,,,,,,,,5.808274476963224,6.723484230245908,20.676343109458536,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,365.0,7.0,48.0,365.0,0.0,31.80600000000002,0.0,0.0,26.116520881652832,,,,,,,,,,,,,,,,,,,,,11.542002345443722,10.767475165935874,31.314581736309584,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,398.0,8.0,33.0,398.0,0.0,14.005999999999993,0.0,0.0,29.786720514297485,,,,,,,,,,,,,,,,,,,,,3.952115852006618,4.621743124370217,13.903373019549864,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,424.0,9.0,26.0,424.0,0.0,10.606999999999994,0.0,0.0,32.487247705459595,,,,,,,,,,,,,,,,,,,,,2.951562118000134,3.6306916353271212,10.551351536653769,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,482.0,10.0,58.0,482.0,0.0,29.406000000000017,0.0,0.0,38.06587862968445,,,,,,,,,,,,,,,,,,,,,11.442014343604543,8.817329539866092,28.79993423660992,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
